TRAITIDKEY,SPECIESID,GENUS,EPITHET,HMF CODE,F_Group,GENERAL FORM,FAMILY,ORIGIN,Height(m),Defenses,N-fixation,Mycorrhizae,Life_History,PI,LeafArea,WetMass,DryMass,NumberofLeaves,AvgLeafArea,AvgWetMass,AvgDryMass,WaterContent,SLA (cm^2/g),Start_FLR,Start_FLR1,End_FLR,End_FLR1,FlowerDuration,FLR_color,Pollination,Fruit,Dispersal,Vegetative,Seed Mass (mg),Seed Mass1 (mg),Seed Mass 2 (mg),Seed Mass 3 (mg),SeedSourceType,Raunkiaer,Grime,Leaf_N,Leaf_C,Leaf_P,Leaf_C:N,Leaf_K,Leaf_Ca,Leaf_Mg,delta_N,delta_C,1C_DNA_content
90,35,Agrostis,stolonifera,Herb,Graminoid,Perennial,Poaceae,E,0.5,FALSE,FALSE,endomycorrhizal,Perennial,0,8.32,0.18,0.04,10,0.831999969,0.018000001,0.004,81.82%,208.00,June,6,September,9,4,Green,Abiotic,Dry,Abiotic,TRUE,0.02,0.02,0,0,Diaspore,Hemicryptophyte,CR,2.42,42.16,0.25,17.41,0.02,0.00,0.00,2.72,-29.70,3.50
168,36,Agrostis,perennans,,,,Poaceae,,1,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,July,0,October,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,2.46
116,37,Agrostis,capillaris,Herb,Graminoid,Perennial,Poaceae,E,0.6,FALSE,FALSE,endomycorrhizal,Perennial,0,0,0,0,1,0,0,0,0.00%,0.00,June,6,August,8,3,Green,Abiotic,Dry,Abiotic,TRUE,0.058,0.058,0,0,Seed,Hemicryptophyte,,,,,,,,,,,3.53
175,38,Agrostis,septentrionalis,,,,Poaceae,,0.8,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,June,0,September,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
111,40,Agrostis,hyemalis,Herb,Graminoid,Perennial,Poaceae,N,0.9,FALSE,FALSE,No Info,Perennial,0,30.99,0.42,0.16,10,3.098999977,0.041999999,0.016,72.41%,193.69,May,5,June,6,2,Green,Abiotic,Dry,Abiotic,FALSE,0.042,0.042,0,0,Diaspore,Hemicryptophyte,,,,,,,,,,,
55,45,Ailanthus,altissima,Tree,Tree,Tree,Simaroubaceae,E,25,FALSE,FALSE,endomycorrhizal,Perennial,0,2922.1,54.85,16.63,10,292.2100098,5.484999847,1.662999916,76.73%,175.71,June,6,July,7,2,Green,Biotic,Dry,Abiotic,FALSE,26.07,26.07,0,0,Seed,Phanerophyte,,3.84,42.15,0.41,10.97,0.02,0.01,0.00,-1.29,-30.79,
169,49,Allium,canadense,,,,Liliaceae,,0.6,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,June,0,0,White,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
109,50,Allium,vineale,Herb,Forb,Perennial,Liliaceae,E,1,FALSE,FALSE,endomycorrhizal,Perennial,0,0,0,0,1,0,0,0,0.00%,0.00,June,6,June,6,1,Red/pink,Biotic,Dry,Abiotic,FALSE,5,5,0,0,Seed,Cryptophyte,,,,,,,,,,,
170,52,Amelanchier,canadensis,,,,Rosaceae,,8,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,April,0,May,0,0,White,Biotic,,Biotic,FALSE,0,0,0,0,,,,,,,,,,,,,1.15
151,53,Alliaria,petiolata,Herb,Forb,Biennial,Brassicaceae,E,1,FALSE,FALSE,none,Biennial,0,533.27,10.6,1.7,10,53.32700195,1.060000038,0.170000005,86.18%,313.69,May,5,June,6,2,White,Biotic,Dry,Abiotic,FALSE,1.72,1.72,,,Seed,Hemicryptophyte,CR,3.16,41.01,0.41,13.00,0.03,0.00,0.00,-3.16,-31.98,1.95
171,55,Amaranthus,albus,,,,Amaranthaceae,,1,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,July,0,October,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
172,56,Amaranthus,retroflexus,,,,,,3,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,July,0,August,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,0.85
18,60,Ambrosia,artemisiifolia,Herb,Forb,Annual,Asteraceae,N,1,FALSE,FALSE,endomycorrhizal,Annual,0,627.33,11.7,2.837,14,44.80928693,0.835714272,0.20264285,80.48%,221.12,August,8,October,10,3,Green,Abiotic,Dry,Abiotic,FALSE,4.02,4.02,,,Seed,Therophyte,,2.90,41.72,0.35,14.40,0.02,0.02,0.01,-0.77,-29.45,1.16
173,61,Ambrosia,trifida,,,,,,2,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,August,0,October,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,1.91
174,65,Anagallis,arvensis,,,,Primulaceae,,0.3,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,June,0,October,0,0,Yellow/orange,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,1.75
176,70,Anaphalis,margaritacea,,,,Asteraceae,,0.9,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,July,0,October,0,0,White,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
74,75,Schizachyrium,scoparium,Herb,Graminoid,Perennial,Poaceae,N,1.2,FALSE,FALSE,endomycorrhizal,Perennial,0,69.79,2.06,0.73,13,5.368461609,0.158461534,0.056153848,73.84%,95.60,August,8,October,10,3,Green,Abiotic,Dry,Abiotic,TRUE,1.8,1.8,,,Seed,Phanerophyte,,1.17,43.72,0.16,37.49,0.01,0.00,0.00,-3.30,-13.14,
177,76,Andropogon,virginicus,,,,Poaceae,,1.5,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,August,0,October,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
178,80,Antennaria,neglecta,,,,Asteraceae,,0.4,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,April,0,June,0,0,White,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
179,85,Anthemis,arvensis,,,,Asteraceae,,0,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,August,0,0,White,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
180,86,Anthemis,cotula,,,,Asteraceae,,0.9,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,July,0,October,0,0,White,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
48,89,Anthoxanthum,odoratum,Herb,Graminoid,Perennial,Poaceae,E,0.7,FALSE,FALSE,endomycorrhizal,Perennial,0,44.13,1.05,0.26,11,4.011818279,0.095454541,0.023636363,80.15%,169.73,April,4,July,7,4,Green,Abiotic,Dry,Abiotic,TRUE,0.45,0.45,0,0,Seed,Hemicryptophyte,SR to CSR,,,,,,,,,,5.90
181,90,Apios,americana,,,,Fabaceae,,0,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,July,0,August,0,0,Purple/blue,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,2.50
182,94,Apocynum,androsaemifolium,,,,Apocynaceae,,0.8,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,August,0,0,Red/pink,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,0.30
44,95,Apocynum,cannabinum,Herb,Forb,Perennial,Apocynaceae,N,1.5,FALSE,FALSE,none,Perennial,0,293.54,5.55,1.88,10,29.35400085,0.555000019,0.188,74.70%,156.14,June,6,August,8,3,White/Green,Biotic,Dry,Abiotic,FALSE,0.808,0.808,,,Seed,Hemicryptophyte,,2.26,45.44,0.28,20.10,0.01,0.01,0.00,-2.81,-27.67,0.30
183,97,Arctium,minus,,,,Asteraceae,,1.5,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,July,0,September,0,0,Purple/blue,Biotic,,Biotic,FALSE,0,0,0,0,,,,,,,,,,,,,2.18
184,100,Arenaria,serpyllifolia,,,,Caryophyllaceae,,0,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,August,0,0,Red/pink,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,0.80
185,105,Arisaema,triphyllum,,,,Araceae,,0.6,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,April,0,June,0,0,Yellow,Biotic,,Biotic,FALSE,0,0,0,0,,,,,,,,,,,,,9.20
186,106,Arrhenatherum,elastius,,,,Poaceae,,2,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,June,0,0,,Abiotic,Dry,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,7.98
187,108,Asclepias,viridiflora,,,,Asclepiadaceae,,0.8,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,July,0,August,0,0,Green,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
188,109,Asclepias,incarnata,,,,Asclepiadaceae,,1.5,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,June,0,August,0,0,Red/pink,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,0.40
37,110,Asclepias,syriaca,Herb,Forb,Perennial,Asclepiadaceae,N,2,FALSE,FALSE,none,Perennial,0,1003.19,35.07,7.02,11,91.19909113,3.18818179,0.638181816,83.32%,142.90,May,5,August,8,4,Green,Biotic,Dry,Abiotic,TRUE,5.845,4.78,6.91,0,Seed,Geophyte,,2.73,42.00,0.25,15.40,0.01,0.01,0.01,-0.12,-28.35,0.42
189,110,Asclepias,syriaca,,,,Asclepiadaceae,,2,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,August,0,0,Green,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,0.42
52,113,Asplenium,platyneuron,Herb,Forb,Perennial,Aspleniaceae,N,0.5,FALSE,FALSE,No Info,Perennial,0,214.76,3.88,1.07,10,21.47599945,0.388000011,0.107000005,78.38%,200.71,N/A,,N/A,,,N/A,N/A,N/A,Abiotic,FALSE,0,,,,,Hemicryptophyte,,3.98,43.53,0.39,10.93,0.02,0.00,0.00,-1.27,-30.88,
190,115,Asparagus,officinalis,,,,Liliaceae,,2,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,June,0,0,White,Biotic,,Biotic,FALSE,0,0,0,0,,,,,,,,,,,,,1.35
76,120,Aster,ericoides,Herb,Forb,Perennial,Asteraceae,N,1,FALSE,FALSE,endomycorrhizal,Perennial,0,16.41,0.29,0.08,10,1.640999985,0.028999999,0.008,78.38%,205.13,August,8,November,11,4,Yellow,Biotic,Dry,Abiotic,TRUE,0.122,0.122,0,0,Seed,Geophyte,,2.13,43.20,0.42,20.33,0.03,0.00,0.00,-2.52,-30.72,
191,122,Aster,novae-angliae,,,,Asteraceae,,2,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,August,0,November,0,0,Purple/blue,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
5,125,Aster,pilosus,Herb,Forb,Biennial,Asteraceae,N,1.5,FALSE,FALSE,endomycorrhizal,Perennial,0,48.41,0.95,0.22,10,4.840999985,0.094999999,0.022,81.20%,220.05,August,8,November,11,4,Yellow/Purple,Biotic,Dry,Abiotic,FALSE,0.139,0.139,0,0,Seed,Hemicryptophyte,,2.13,42.95,0.37,20.21,0.02,0.00,0.00,-2.24,-31.01,
192,130,Aster,lanceolatus,,,,Asteraceae,,1.5,FALSE,FALSE,No Info,,0,136.07,2.03,0.4848,11,12.37000067,0.184545452,0.044072728,80.72%,280.67,August,0,November,0,0,White,Biotic,,Abiotic,FALSE,0,0,0,0,,,,2.59,40.82,0.41,15.78,0.03,0.00,0.00,-0.34,-32.04,2.71
96,137,Aster,lateriflorus,Herb,Forb,Biennial,Asteraceae,N,1.2,FALSE,FALSE,endomycorrhizal,Perennial,0,0,0,0,1,0,0,0,0.00%,0.00,August,8,September,9,2,White,Biotic,Dry,Abiotic,TRUE,0,,,,,Hemicryptophyte,,,,,,,,,,,
77,138,Athyrium,felix-femina,Herb,Forb,Perennial,Aspleniaceae,N,1,FALSE,FALSE,endomycorrhizal,Perennial,0,3571.91,64.97,15.22,10,357.1909912,6.497000122,1.522000027,76.57%,234.69,N/A,,N/A,,,N/A,N/A,N/A,Abiotic,TRUE,0,0,0,0,,Hemicryptophyte,SC to C,,,,,,,,,,7.20
152,140,Barbarea,vulgaris,Herb,Forb,Biennial,Brassicaceae,E,0.8,FALSE,FALSE,none,Perennial,0,78.9,2.79,0.52,8,9.862500191,0.348749995,0.064999998,84.29%,151.73,April,4,June,6,3,Yellow,Biotic,Dry,Abiotic,FALSE,0.813,0.813,,,Seed,Hemicryptophyte,,2.18,40.37,0.25,18.56,0.02,0.01,0.00,0.46,-27.74,
33,150,Berberis,thunbergii,shrub/vine,Shrub/vine,Shrub,Berberidaceae,E,2,TRUE,FALSE,No Info,Perennial,0,37.26,0.54,0.16,10,3.725999832,0.054000002,0.016,77.14%,232.87,May,5,May,5,1,Yellow,Biotic,Fleshy,Biotic,FALSE,15.64,15.64,0,0,,Phanerophyte,,,,,,,,,,,0.70
193,152,Betula,alleghaniensis,,,,Betulaceae,,30,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,April,0,May,0,0,Yellow,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,1.30
194,155,Bidens,vulgata,,,,Asteraceae,,1.2,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,August,0,October,0,0,Yellow,Biotic,,Biotic,FALSE,0,0,0,0,,,,,,,,,,,,,0.75
195,157,Botrychium,virginianum,,,,Ophioglossaceae,,0.5,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,0,0,0,0,0,N/A,N/A,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,10.22
196,158,Sinapis,arvensis,,,,Brassicaceae,,0.8,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,July,0,0,Yellow,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,0.38
197,166,Bromus,inermis,,,,Poaceae,,1,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,June,0,July,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,12.27
49,167,Bromus,racemosus,Herb,Graminoid,Annual,Poaceae,E,1,FALSE,FALSE,No Info,Annual,0,139.27,2.74,0.97,10,13.92700043,0.274000001,0.097000003,73.85%,143.58,May,5,July,7,3,Green,Abiotic,Dry,Abiotic,FALSE,3.98,3.98,,,Seed,Therophyte,,1.98,43.03,0.19,21.72,0.02,0.00,0.00,-1.95,-30.50,13.48
198,168,Bromus,tectorum,,,,Poaceae,,0.7,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,June,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,3.25
360,175,Capsella,bursa-pastoris,,,,,,0,FALSE,FALSE,No Info,,,0,0,0,,0,0,0,0.00%,0.00,0,0,0,0,0,,,,,FALSE,0,0,0,0,,,,,,,,,,,,,0.40
199,177,Carex,pensylvanica,,,,Cyperacea,,0.45,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,April,0,May,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,0.60
133,178,Carya,tomentosa,Tree,Tree,Tree,Juglandaceae,N,30,FALSE,FALSE,ectomycorrhizal,Perennial,0,1135.93,20.25,9.14,2,567.9650269,10.125,4.570000172,68.90%,124.28,April,4,May,5,2,Green,Abiotic,Dry,Biotic,FALSE,,,0,0,0,Phanerophyte,,,,,,,,,,,
200,179,Carex,swanii,,,,Cyperacea,,0.6,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,June,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
356,180,Carex,sp.,,,,,,0.5,FALSE,FALSE,No Info,Perennial,0,45.49,0.47,0.1849,8,5.68625021,0.05875,0.0231125,71.77%,246.02,0,0,0,0,0,,,,,FALSE,0,0,0,0,,,,1.81,43.04,0.21,23.84,0.01,0.00,0.00,1.82,-26.71,
201,181,Carex,vupinoidea,,,,Cyperacea,,1,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,June,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
202,182,Carex,festucacea,,,,Cyperacea,,1,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,0,0,0,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
203,183,Carex,scoparia,,,,Cyperacea,,1,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,July,0,0,Green,Abiotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,0.35
144,184,Carya,glabra,Tree,Tree,Tree,Juglandaceae,N,30,FALSE,FALSE,ectomycorrhizal,Perennial,0,213.74,3.01,1.2,2,106.8700027,1.504999995,0.600000024,71.50%,178.12,April,4,May,5,2,Green,Abiotic,Dry,Biotic,FALSE,6118.9,6118.9,0,0,Seed,Phanerophyte,,,,,,,,,,,0.40
47,185,Carya,sp.,Tree,Tree,Tree,Juglandaceae,N,30,FALSE,FALSE,ectomycorrhizal,Perennial,0,6112.21,77.53,35.38,10,611.2209961,7.752999878,3.538000107,54.37%,172.76,April,4,May,5,2,Green,Abiotic,Dry,Biotic,FALSE,0,,,,,Phanerophyte,,2.29,42.97,0.16,18.80,0.01,0.01,0.00,-1.36,-29.65,
106,186,Carya,ovalis,Tree,Tree,Tree,Juglandaceae,N,30,FALSE,FALSE,ectomycorrhizal,Perennial,0,0,0,0,1,0,0,0,0.00%,0.00,April,4,May,5,2,Green,Abiotic,Dry,Biotic,FALSE,0,,,,,Phanerophyte,,,,,,,,,,,
204,187,Chamaecrista,nictitans,,,,Caesalpiniaceae,,0.5,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,July,0,September,0,0,Yellow/orange,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
129,188,Carya,ovata,Tree,Tree,Tree,Juglandaceae,N,30,FALSE,FALSE,ectomycorrhizal,Perennial,0,4192.52,8.46,27.41,9,465.8355577,0.940000004,3.045555539,23.59%,152.96,April,4,May,5,2,Green,Abiotic,Dry,Biotic,FALSE,4536,4536,0,0,,Phanerophyte,,,,,,,,,,,0.70
205,189,Celtis,occidentalis,,,,Ulmaceae,,35,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,April,0,May,0,0,Green,Abiotic,,Biotic,FALSE,0,0,0,0,,,,,,,,,,,,,0.60
61,190,Centaurea,dubia,Herb,Forb,Perennial,Asteraceae,N,0.8,FALSE,FALSE,No Info,Perennial,0,73.54,1.91,0.43,15,4.902666728,0.127333331,0.028666667,81.62%,171.02,July,7,October,10,4,Purple/blue,Biotic,Dry,Abiotic,FALSE,2.611,2.611,0,0,Seed,Hemicryptophyte,,2.19,42.84,0.25,19.58,0.03,0.01,0.00,-0.50,-30.50,1.41
45,193,Celastrus,orbiculatus,shrub/vine,Shrub/vine,Liana,Celastraceae,E,5,FALSE,FALSE,No Info,Perennial,0,366.39,6.3,1.38,11,33.30818315,0.57272729,0.125454545,82.03%,265.50,May,5,June,6,2,,Biotic,Dry,Biotic,TRUE,1022,1022,0,0,,Phanerophyte,,2.50,43.06,0.21,17.26,0.01,0.02,0.00,-1.28,-31.02,0.40
206,194,Clematis,virginiana,,,,Ranunculaceae,,3,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,July,0,September,0,0,White,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
93,195,Cerastium,vulgatum,Herb,Forb,Perennial,Caryophyllaceae,E,0.5,FALSE,FALSE,none,Perennial,0,8.29,0.28,0.03,10,0.828999996,0.028,0.003,90.32%,276.33,April,4,October,10,7,White,Biotic,Dry,Abiotic,FALSE,0.078,0.078,0,0,Seed,Hemicryptophyte,,,,,,,,,,,
207,196,Cerastium,nutans,,,,Caryophyllaceae,,0.4,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,April,0,July,0,0,White,Biotic,,Abiotic,FALSE,0,0,0,0,,,,,,,,,,,,,
147,198,Celastrus,scandens,shrub/vine,Shrub/vine,Liana,Celastraceae,N,5,FALSE,FALSE,No Info,Perennial,0,0,0,0,1,0,0,0,0.00%,0.00,May,5,June,7,3,Green,Biotic,Dry,Biotic,FALSE,15.7,15.7,0,0,Seed,Phanerophyte,,,,,,,,,,,4.40
154,200,Chenopodium,album,Herb,Forb,Annual,Chenopodiaceae,E,1,FALSE,FALSE,none,Annual,0,276.14,11.48,1.02,17,16.24353027,0.675294091,0.059999999,91.84%,270.73,June,6,October,10,5,Green,Abiotic,Dry,Abiotic,FALSE,0.77,0.77,,,Seed,Therophyte,R to CR,4.96,36.65,0.32,7.40,0.06,0.01,0.01,0.12,-27.79,0.77
